Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,SC Tap3,R12.8,R12.9,R12.10,R23.7,R23.8,R23.9,R23.10,R31.1,R31.3,R31.9,R31.10,R31.11,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Bush2 cap,Bush2 tan,Bush3 cap,Bush3 tan,Surge1 loss,Surge1 leak,Surge2 loss,Surge3 loss,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
0.4817,2.184,2.2319,,,,8.7324,8.6233,8.5171,8.85,8.7379,8.6287,8.5227,9.5871,9.3277,8.6293,8.5235,8.4198,,10.3228,0.1887,31.8342,0.1692,89.0167,30.3667,,,,,,,37.4,0,38.1,39.5,4800,31,0,13,63,680,26,17,22,3465,82905
3,3,3,73.6667,80.6667,81.6667,8.7366,8.6287,8.5207,8.8443,8.7363,8.6283,8.5205,9.4918,9.276,8.6282,8.5202,8.4123,20,7.479,0.1739,7.479,0.1783,82.05,71.6833,167.82,0.2931,169.877,0.3101,169.547,0.3944,45.4,10,49.8,46.4,3594,40,3,14,47,219,18,3,46,14288,5115
2.43,1.8889,1.5439,72.3333,80.6667,81.6667,8.7311,8.6223,8.5162,8.8431,8.7311,8.622,8.516,9.5782,9.3192,8.6221,8.5161,8.4126,20,10.2621,0.1191,,0.13,81.4833,91.6,236.74,0.3247,245.957,0.3237,236.092,0.3623,66.8,0,70.5,70.2,5666,12,0,6,14,612,15,14,0,3210,60927
2.1275,1.8523,1.487,,,,8.7368,8.6275,8.521,8.8487,8.7367,8.6274,8.521,9.5861,9.327,8.6274,8.521,8.4171,,15.2854,0.2502,15.2854,0.2499,87.7667,78.7833,256.753,1.6209,256.505,1.8099,259.096,0.1963,157.6,10,101.8,92.8,1777,16,0,538,205,172,438,0,0,916,85290
2.28,2.359,2.9344,,93.3697,,8.5155,8.6218,8.7307,8.4118,8.5157,8.622,8.7305,7.8376,8.0206,8.6216,8.7313,8.8433,61.7,16.9558,0.1699,28.2287,0.2016,89.05,45.85,258.005,0.2302,254.77,0.2008,254.671,0.2037,149.8,0,109,145.7,2115,15,0,462,200,142,323,0,0,786,83921
1.8519,1.495,1.3153,,,,8.5134,8.6198,8.7288,8.4097,8.5137,8.6198,8.7288,7.8364,8.0186,8.6195,8.7286,8.8407,1.2872,15.3808,0.1835,,,78.4167,41.3167,259.201,1.34,256.455,0.2604,255.523,1.0489,82.1,0,84.3,84.9,8290,82,0,5,10,1548,34,15,0,14439,90655
2.008,2.1043,1.8664,87.442,80.2099,74.9546,8.52,8.627,8.737,8.416,8.521,8.627,8.737,7.842,7.932,8.416,8.52,8.627,15.999,8.5254,0.14,23.3375,0.15,88.2,76.95,224.48,0.21,222.63,0.22,220.89,0.23,120.4,0,120.4,121.9,871,4,0,18,14,63,15,23,0,2708,27563
3,3,3,95.6667,100.3333,59,8.7347,8.6265,8.5184,8.8426,8.7347,8.6264,8.518,9.4924,9.2761,8.6265,8.5181,8.4162,20,10,0.01,20,0.01,52.35,60.0833,200,0.01,200,0.01,200,0.01,40,0,40,40,397,5,0,16,7,55,23,29,0,17280,352
1.8603,1.6138,1.3447,,,,8.7289,8.62,8.5137,8.8409,8.7289,8.6199,8.5135,9.577,9.3179,8.6201,8.5139,8.4099,1.088,15.6665,0.316,26.3177,0.3499,75.6667,41.3333,250.805,0.1218,257.433,0.157,256.175,0.1052,44.41,0,44.81,44.83,7443,8,0,4,14,0,31,21,122,14509,5212
1.4571,1.1475,1.6667,,,,8.7293,8.6201,8.5133,8.8419,8.7293,8.62,8.5135,9.5821,9.3217,8.62,8.5135,8.4094,1.1085,8.5719,0.1059,22.9695,0.1194,77.3,71.5833,223.744,0.222,223.532,0.2034,222.969,0.2246,80.2,0,93,81.1,3867,15,0,314,155,229,38,252,28,6952,77184
2.3433,1.2587,1.4692,,,,8.7294,8.6199,8.5133,8.842,8.7295,8.6202,8.5134,9.5823,9.3217,8.6201,8.5133,8.4092,1.1602,8.5714,0.1016,22.9567,0.1099,74.9167,70.3833,224.584,0.2037,223.811,0.2267,222.575,0.2141,75.5,0,48.5,74.1,1644,5,0,24,38,149,17,26,19,2238,31041
3,3,3,,,,8.7249,8.6171,8.5088,8.8337,8.7256,8.6174,8.5092,9.4829,9.2664,8.6175,8.509,8.4042,20,10,0.01,20,0.01,80.05,47.3667,200,0.01,200,0.01,200,0.01,40,0,40,40,3430,4,0,11,30,341,30,16,13,9367,4002
3,3,3,125.6667,99.3333,72,8.516,8.6226,8.7316,8.4104,8.5141,8.6205,8.7296,7.8372,8.0194,8.6207,8.7297,8.8416,20,,,,,68.5,62.5833,,,,,,,,,,,17641,9,0,7,30,1131,19,15,0,8851,82540
1.5008,1.3426,1.1066,104.1767,98.8833,98.6187,8.5173,8.6238,8.7326,8.4136,8.5175,8.6239,8.7327,7.84,8.0221,8.6235,8.7326,8.8446,20,17.656,0.088,13.5754,0.2117,75.4,66.6,320.623,0.0575,318.461,0.067,318.409,0.9741,40,0,40,40,15600,12,0,5,24,2007,15,0,0,2126,89073
4.1406,1.7576,1.4073,,,,8.5145,8.621,8.73,8.4103,8.5144,8.6206,8.7295,7.8373,8.0195,8.6205,8.7296,8.8417,,16.9062,0.283,28.235,0.397,92.5833,84.6,256.155,0.2179,251.919,0.2175,256.353,0.2293,65.4,0,62.4,65,3025,13,0,403,167,190,43,293,0,1062,97084
1.6334,1.068,1.0241,,,,8.514,8.6204,8.7293,8.4102,8.5141,8.6203,8.7293,7.8372,8.0193,8.6202,8.7293,8.8413,15.13,17.2972,1.2959,28.9036,1.1515,88.3833,82.7167,256.194,0.3772,257.104,0.0347,257.301,0.3832,62.9,0,64.5,62.4,3003,24,0,586,188,164,53,405,0,1331,85001
2.1758,2.8981,1.7857,122.6067,96.3883,75.5017,8.7537,8.647,8.5373,8.9248,8.8077,8.6972,8.5744,9.6306,9.4008,8.7128,8.6397,8.5232,183.5,12.0371,0.1377,19.6209,0.2125,76.2667,66.65,170.814,0.3097,169.355,0.3404,170.645,0.3483,37.8,0,35.6,34.1,4105,11,0,34,38,575,20,34,42,14440,79226
2.2033,1.7068,1.3636,86.2767,96.6717,75.7477,8.7246,8.6167,8.5088,8.8328,8.7246,8.6169,8.5087,9.4806,9.2645,8.617,8.509,8.4009,29.7,11.9301,0.1584,19.8262,0.3757,56.4833,57.75,170.486,0.4402,169.748,0.3324,169.471,0.4936,95.2,0,103,124.8,4064,8,0,107,130,628,28,69,48,2569,60837
2.5941,2.6507,2.1625,122.98,96.823,75.8487,8.734,8.6187,8.5141,8.8613,8.7295,8.6202,8.512,9.5047,9.2654,8.617,8.5251,8.414,198.5,11.7936,0.1432,19.4937,0.2184,52.5333,61.6167,169.58,0.3273,169.485,0.3193,170.412,0.3598,24.9,0,25,60.7,1654,100,0,28,25,393,,,65,4781,67242
2.2479,1.4565,1.4444,122.4033,96.2407,75.3767,8.7249,8.6178,8.5092,8.8331,8.725,8.6171,8.5091,9.4805,9.2648,8.6172,8.5089,8.401,24.17,12.0387,0.1289,19.7637,0.2714,73.7667,79.3,171.708,0.4513,170.526,0.2865,172.238,0.5021,50.2,0,51.9,57.1,3463,8,0,426,249,519,30,296,32,921,74964
2.4,1.7619,1.3333,122.7,96.4887,75.544,8.7298,8.6226,8.5138,8.8329,8.7247,8.6168,8.5089,9.4804,9.2647,8.617,8.5089,8.401,24.48,11.9234,0.149,19.8007,0.3424,86,73.8667,171.892,0.3568,170.272,0.3328,170.611,0.3815,0.3568,0,0.3328,0.3815,2552,13,0,420,277,344,35,278,27,1566,93849
2.1505,1.407,1.1553,122.6933,96.371,75.371,8.7249,8.6174,8.5093,8.833,8.7249,8.6172,8.5092,9.4811,9.2646,8.617,8.5092,8.4012,25.25,12.6261,0.139,20.3039,0.2368,87,57.6167,183.716,0.2359,183.064,0.2217,180.714,0.2456,92.2,0,89.2,92.4,6964,7,0,455,223,628,314,0,47,798,62348
2.6296,1.6506,1.239,122.2233,96.0613,75.1727,8.7252,8.6171,8.5094,8.8333,8.7253,8.6172,8.5092,9.4808,9.2648,8.6172,8.5093,8.401,26.3,12.6417,0.1247,20.0796,0.216,60.7333,90.3,185.958,0.2574,185.706,0.2427,182.541,0.2285,142.7,0,148.5,136.5,3169,17,0,927,265,231,640,0,20,596,81009
2.9412,2.3889,2.3,122.83,96.588,75.6767,8.725,8.6173,8.5091,8.8328,8.7246,8.6168,8.5092,9.4803,9.2648,8.6175,8.5093,8.4013,40.8,11.8975,0.137,19.7404,0.238,60.8667,60,190.696,0.5863,174.881,0.4757,171.714,0.4018,27.6,0,28.8,28.6,8711,5,0,266,210,754,26,189,64,804,70086
3,3,3,70,78,78.6667,8.7253,8.6176,8.5092,8.8337,8.7259,8.6177,8.5326,9.4836,9.2671,8.6177,8.5093,8.4013,20,10,0.01,20,0.01,60,61.8333,200,0.01,200,0.01,200,0.01,40,0,40,40,8147,9,0,310,188,454,26,212,85,1804,54017
