CO2,C2H4,C2H2,C2H6,CH4,CO,H2
3396,6,0,322,137,225,37
3299,6,0,313,132,211,39
2334,6,0,352,169,307,75
2838,7,0,372,175,315,74
7757,88,0,3,8,878,0
6807,46,0,314,518,1421,25
9515,87,0,5,10,1072,0
8611,78,0,5,9,1455,0
8290,82,0,5,10,1548,0
3321,2,0,3,19,347,13
3579,2,0,3,20,295,12
3148,3,0,5,24,309,16
4219,3,0,5,25,285,14
3817,3,0,5,27,388,0
3632,3,0,5,27,378,0
2495,2,0,165,64,122,0
2479,3,0,204,100,139,0
3949,3,0,206,101,152,0
4416,3,0,220,112,232,0
4192,4,0,256,132,260,0
677,1,0,4,5,42,2
722,2,0,4,10,215,0
992,2,0,5,16,249,0
1149,2,0,5,16,247,0
1202,3,0,6,17,0,0
1485,4,0,6,23,452,0
1732,4,0,7,28,214,0
354,2,0,53,18,7,0
1262,8,5,178,68,20,0
1367,8,5,175,66,20,0
1215,6,0,171,64,22,0
1214,7,0,185,68,0,0
1211,7,0,179,74,20,0
1300,7,0,195,86,23,0
1288,4,0,138,45,25,0
1625,6,0,165,70,29,0
1451,7,3,167,75,32,8
1475,7,0,178,75,0,0
1460,7,0,178,83,31,0
1398,7,0,184,85,31,0
873,0,0,0,2,278,7
2048,2,0,0,5,244,0
2337,0,0,0,8,539,0
2330,0,0,0,7,523,0
2102,2,0,0,8,518,0
3279,3,0,0,10,535,0
3162,2,0,0,9,468,0
2259,3,0,0,9,662,0
824,0,0,0,2,189,0
1772,2,0,0,5,272,0
3000,3,0,0,10,706,0
2937,3,0,0,9,632,0
2229,4,0,0,10,1080,0
1515,12,6,331,113,91,0
2699,15,0,431,158,82,0
2883,15,0,430,162,105,0
3110,17,0,490,198,113,0
3027,17,0,500,205,120,0
2115,15,0,462,200,142,0
2522,18,0,543,183,118,0
2675,19,0,570,195,131,0
2703,19,0,577,198,136,0
1777,16,0,538,205,172,0
5164,6,0,161,108,146,7
7525,6,0,179,133,228,14
2647,4,0,41,34,0,0
2798,6,0,62,46,149,0
2895,6,0,82,56,155,0
6728,7,0,176,120,497,20
8630,7,0,176,104,359,0
4081,27,0,123,74,267,0
4036,7,0,143,86,296,0
3412,2,0,0,8,291,0
5047,3,0,0,11,423,0
7966,4,0,0,19,586,0
4368,9,0,4,22,1035,0
4528,9,0,4,27,1335,0
5930,9,0,5,37,1314,0
3920,0,0,0,10,407,10
4152,4,0,0,13,768,0
8514,5,0,0,21,736,0
