CO2,C2H4,C2H2,C2H6,CH4,CO,H2,score
3396,6,0,322,137,225,37,92
3299,6,0,313,132,211,39,92
2334,6,0,352,169,307,75,96.25
2838,7,0,372,175,315,74,100
7757,88,0,3,8,878,0,92
6807,46,0,314,518,1421,25,89.63888889
9515,87,0,5,10,1072,0,92
8611,78,0,5,9,1455,0,92
8290,82,0,5,10,1548,0,100
3321,2,0,3,19,347,13,100
3579,2,0,3,20,295,12,100
3148,3,0,5,24,309,16,89.63888889
4219,3,0,5,25,285,14,92
3817,3,0,5,27,388,0,97.33333333
3632,3,0,5,27,378,0,91.05
2495,2,0,165,64,122,0,93.86666667
2479,3,0,204,100,139,0,88.39166667
3949,3,0,206,101,152,0,96.53333333
4416,3,0,220,112,232,0,87.44166667
4192,4,0,256,132,260,0,93.73333333
677,1,0,4,5,42,2,92.8
722,2,0,4,10,215,0,92
992,2,0,5,16,249,0,93.86666667
1149,2,0,5,16,247,0,94.66666667
1202,3,0,6,17,0,0,87.31666667
1485,4,0,6,23,452,0,92.13333333
1732,4,0,7,28,214,0,92.8
354,2,0,53,18,7,0,92.8
1262,8,5,178,68,20,0,89.19166667
1367,8,5,175,66,20,0,87.45
1215,6,0,171,64,22,0,94.66666667
1214,7,0,185,68,0,0,90.90833333
1211,7,0,179,74,20,0,96.53333333
1300,7,0,195,86,23,0,96.53333333
1288,4,0,138,45,25,0,89.33333333
1625,6,0,165,70,29,0,86.51666667
1451,7,3,167,75,32,8,90.66666667
1475,7,0,178,75,0,0,92.8
1460,7,0,178,83,31,0,89.33333333
1398,7,0,184,85,31,0,100
873,0,0,0,2,278,7,86.125
2048,2,0,0,5,244,0,91.85833333
2337,0,0,0,8,539,0,91.58333333
2330,0,0,0,7,523,0,87.86666667
2102,2,0,0,8,518,0,92
3279,3,0,0,10,535,0,93.86666667
3162,2,0,0,9,468,0,92.8
2259,3,0,0,9,662,0,98.125
824,0,0,0,2,189,0,91.2
1772,2,0,0,5,272,0,91.2
3000,3,0,0,10,706,0,93.73333333
2937,3,0,0,9,632,0,93.06666667
2229,4,0,0,10,1080,0,96
1515,12,6,331,113,91,0,94.125
2699,15,0,431,158,82,0,87.19166667
2883,15,0,430,162,105,0,87.45833333
3110,17,0,490,198,113,0,89.05
3027,17,0,500,205,120,0,96.39166667
2115,15,0,462,200,142,0,88.38333333
2522,18,0,543,183,118,0,89.33333333
2675,19,0,570,195,131,0,91.2
2703,19,0,577,198,136,0,89.33333333
1777,16,0,538,205,172,0,95.6
5164,6,0,161,108,146,7,94.53333333
7525,6,0,179,133,228,14,89.33333333
2647,4,0,41,34,0,0,93.73333333
2798,6,0,62,46,149,0,94.53333333
2895,6,0,82,56,155,0,92.8
6728,7,0,176,120,497,20,89.33333333
8630,7,0,176,104,359,0,89.33333333
4081,27,0,123,74,267,0,88.13333333
4036,7,0,143,86,296,0,85.43333333
3412,2,0,0,8,291,0,85.58333333
5047,3,0,0,11,423,0,87.31666667
7966,4,0,0,19,586,0,92.8
4368,9,0,4,22,1035,0,92.93333333
4528,9,0,4,27,1335,0,91.2
5930,9,0,5,37,1314,0,88.25833333
3920,0,0,0,10,407,10,89.33333333
4152,4,0,0,13,768,0,80.75
8514,5,0,0,21,736,0,95.6
4838,13,0,3,23,783,0,88
4731,12,0,4,31,1639,18,93.73333333
5969,13,0,5,37,1542,0,91.06666667
6725,9,0,3,22,995,0,92.8
6357,9,0,3,20,887,0,100
5251,14,0,0,73,253,21,94.65833333
11136,10,0,87,141,274,29,88.38333333
12229,14,0,100,144,251,33,89.33333333
8350,10,0,98,158,286,58,89.33333333
159,525,3,236,46,11,8,100
142,723,4,315,76,27,0,88.66666667
3655,9,0,407,233,398,16,89.33333333
5786,8,0,399,204,347,18,96.25
4294,8,0,383,247,592,28,90.26666667
3463,8,0,426,249,519,32,82.8
2472,5,0,286,173,264,23,91.06666667
4051,14,0,419,234,254,10,96.4
2899,87,0,385,248,323,18,94.375
2552,13,0,420,277,344,27,92.93333333
3121,11,0,259,86,113,182,81.83333333
2074,3,0,33,13,36,0,95.46666667
569,0,0,0,1,120,0,92.13333333
1069,5,0,53,28,232,0,92.8
444,0,0,0,1,120,0,91.06666667
1026,5,0,11,28,332,19,98.125
3950,3,0,27,12,35,0,94.51666667
2967,11,0,268,93,117,108,93.06666667
698,3,0,21,8,36,0,93.73333333
2334,11,0,0,88,109,0,100
5495,17,0,680,162,105,0,90.91666667
2374,10,0,346,91,108,0,94.53333333
5242,12,0,356,87,105,0,85.58333333
2576,13,0,484,120,124,0,96.25
1958,13,0,500,145,189,0,94.375
3584,17,0,707,173,173,7,94.51666667
4297,23,0,855,159,177,8,91.06666667
3522,24,0,919,172,202,8,84.4
2383,23,0,944,161,177,0,92.8
2554,24,0,976,179,204,0,87.31666667
3533,27,0,1004,182,232,0,89.33333333
2450,23,0,942,202,335,0,92.8
3872,34,0,1026,207,243,18,89.33333333
6450,20,0,1013,205,326,16,85.58333333
4116,11,0,513,128,225,12,91.99166667
4083,16,0,573,143,251,15,92.79166667
5365,17,0,747,181,277,12,84.33333333
3592,16,0,737,199,411,21,87.98333333
5254,10,0,0,8,327,24,89.33333333
5053,12,0,0,9,343,0,92.8
5469,14,0,3,12,466,13,96.25
7978,14,0,3,13,450,92,89.33333333
2955,12,0,0,2,244,0,91.06666667
1006,0,0,0,4,246,0,89.33333333
1359,0,0,0,4,316,0,90.25
1342,0,0,0,5,638,0,100
1017,3,0,0,45,90,0,94.53333333
1847,25,0,201,96,112,0,93.73333333
1403,5,0,204,88,129,0,94.375
1009,0,0,0,3,155,0,85.44166667
1703,8,0,312,118,145,0,85.56666667
1203,8,0,306,129,194,0,89.33333333
3130,5,0,51,49,212,0,92.8
2005,0,0,0,7,793,0,92.93333333
4123,5,0,98,94,214,18,96.25
6332,6,0,110,99,236,29,94.51666667
1054,0,0,0,3,456,0,92.78333333
3737,6,0,60,61,247,0,96.25
771,3,0,0,2,373,0,89.33333333
802,3,0,0,2,0,0,92.93333333
2159,2,0,0,6,571,0,86.8
6030,0,0,3,12,834,0,84.66666667
4241,0,0,3,12,725,0,87.45833333
3282,2,0,3,11,697,0,92.8
3227,5,12,3,11,521,14,91.06666667
4814,3,0,4,15,1375,0,91.46666667
5591,4,0,4,16,1141,0,93.86666667
1953,0,0,0,6,577,0,100
5009,0,0,3,12,807,0,93.73333333
3057,0,0,3,11,703,0,91.85
2688,6,17,3,10,428,8,100
3908,0,0,3,12,1131,0,92.8
4976,3,0,4,13,1070,0,86.66666667
1170,0,0,0,5,316,0,96.53333333
2243,0,0,0,9,354,12,90.91666667
1983,0,0,0,8,268,0,89.33333333
3102,3,0,0,10,427,0,90.26666667
2416,4,0,0,10,642,0,85.46666667
1596,4,0,0,5,340,16,89.83333333
2132,5,0,0,6,304,0,85.44166667
3618,6,0,5,19,423,0,93.86666667
2953,6,0,6,28,549,0,90.26666667
1812,5,0,7,12,338,20,91.2
2805,7,0,242,92,85,60,94.51666667
5953,10,0,296,134,143,78,89.33333333
6003,9,0,319,142,140,100,93.73333333
3217,3,0,0,5,636,0,91.19166667
9061,22,0,3,11,629,0,86.51666667
11549,34,0,4,11,720,0,90.26666667
13445,46,0,5,13,812,0,92.93333333
11258,18,0,4,11,558,10,96
12318,15,0,5,17,918,27,92.13333333
1654,100,0,28,25,393,65,92.13333333
1867,10,0,37,43,471,98,89.18333333
9032,15,0,7,19,131,30,94.66666667
13294,38,0,20,62,242,82,89.33333333
3955,21,0,6,32,555,33,89.33333333
4800,31,0,13,63,680,22,89.33333333
6001,0,0,3,13,281,0,84.13333333
7923,0,0,4,17,277,0,100
8448,0,0,5,20,445,0,91.06666667
11702,0,0,5,23,478,0,89.325
5384,0,0,3,11,332,0,88.10833333
8660,0,0,5,21,257,0,93.73333333
