CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2,Score
4800,31,0,13,63,680,26,17,22,3465,82905,87.44166667
3594,40,3,14,47,219,18,3,46,14288,5115,94.375
5666,12,0,6,14,612,15,14,0,3210,60927,92.13333333
1777,16,0,538,205,172,438,0,0,916,85290,87.86666667
2115,15,0,462,200,142,323,0,0,786,83921,91.58333333
8290,82,0,5,10,1548,34,15,0,14439,90655,86.51666667
871,4,0,18,14,63,15,23,0,2708,27563,88.13333333
397,5,0,16,7,55,23,29,0,17280,352,96.39166667
7443,8,0,4,14,0,31,21,122,14509,5212,85.58333333
3867,15,0,314,155,229,38,252,28,6952,77184,89.33333333
1644,5,0,24,38,149,17,26,19,2238,31041,90.26666667
3430,4,0,11,30,341,30,16,13,9367,4002,87.15833333
17641,9,0,7,30,1131,19,15,0,8851,82540,93.06666667
15600,12,0,5,24,2007,15,0,0,2126,89073,93.73333333
3025,13,0,403,167,190,43,293,0,1062,97084,91.2
3003,24,0,586,188,164,53,405,0,1331,85001,90.26666667
4105,11,0,34,38,575,20,34,42,14440,79226,89.33333333
4064,8,0,107,130,628,28,69,48,2569,60837,87.98333333
1654,100,0,28,25,393,nd,nd,65,4781,67242,88.39166667
3463,8,0,426,249,519,30,296,32,921,74964,91.2
2552,13,0,420,277,344,35,278,27,1566,93849,91.2
6964,7,0,455,223,628,314,0,47,798,62348,90.26666667
3169,17,0,927,265,231,640,0,20,596,81009,82.8
8711,5,0,266,210,754,26,189,64,804,70086,91.19166667
8147,9,0,310,188,454,26,212,85,1804,54017,94.65833333
2191,5,0,23,33,165,16,23,0,17712,81026,91.99166667
6795,8,0,55,77,342,21,39,14,3992,49803,92.79166667
10167,9,0,329,204,475,41,247,35,13511,5871,88.39166667
8952,8,0,325,169,408,59,257,29,8526,5597,90.26666667
7854,322,218,407,483,178,276,255,734,4123,4651,100
4828,7,0,378,216,519,26,268,31,2783,82290,89.33333333
5672,7,0,311,199,631,25,221,63,2258,63558,89.33333333
3271,12,0,504,223,290,80,374,15,32,0,81.83333333
2401,4,0,9,18,133,-,-,30,2008,22601,100
7259,8,0,85,99,202,8,46,49,1294,4219,89.33333333
9477,10,0,170,162,165,16,105,39,4438,5705,90.26666667
7097,27609,80,4678,17205,308,16033,1234,529,7242,72102,86.51666667
6732,32,0,206,217,741,68,139,0,3956,82538,96
8478,10,0,180,176,382,33,108,37,1588,82639,98.125
9121,11,0,202,197,375,62,125,128,237,89898,94.51666667
8350,10,0,98,158,286,58,0,58,2803,74468,89.05
6078,15,0,125,142,332,31,82,0,9872,87865,89.33333333
11485,54,0,48,70,490,43,42,0,6704,80388,80.75
6470,28,0,541,257,284,50,338,37,7930,96447,89.33333333
8600,17,0,448,253,330,37,290,0,1068,66891,88.66666667
1643,12,0,233,132,336,33,199,20,586,70726,100
2271,8,0,24,20,143,42,30,0,1236,3481,91.2
2584,9,17,60,66,42,49,55,0,9170,4126,91.2
1535,13,16,226,82,31,48,156,14,3620,5382,88.39166667
4677,18,0,0,10,398,16,0,0,10085,76953,89.33333333
4152,8,0,8,33,194,16,15,0,6491,40551,92.8
5192,9,0,8,25,229,16,0,0,2988,44530,92.8
8539,8,0,24,53,269,23,0,21,4523,58017,91.06666667
8960,9,0,7,27,69,31,0,0,2332,2653,100
3349,5,0,3,16,243,0,0,0,19726,4959,85.58333333
8954,7,0,299,143,313,32,210,15,12540,5435,83.84166667
10865,10,0,416,217,319,37,293,16,6188,5309,83.58333333
11285,56,0,305,177,440,59,122,241,2266,74838,80.53333333
7550,13,0,103,85,436,21,62,328,1971,57295,91.05833333
403,3,0,17,16,119,16,21,0,1056,12387,87.45
1383,4,0,19,16,142,29,26,0,16564,69176,94.66666667
1300,7,0,195,86,23,33,142,0,2040,77598,89.33333333
1398,7,0,184,85,31,33,138,0,2238,85957,100
2820,5,0,205,82,40,48,166,0,1701,4114,93.86666667
3371,6,0,252,115,59,26,186,0,3613,64482,84.33333333
12726,11,0,98,88,329,28,60,8,6606,5573,81.83333333
13417,10,0,186,104,260,50,119,56,9524,5754,89.33333333
0,0,0,0,0,0,0,0,0,0,0,89.19166667
0,0,0,0,0,0,0,0,0,0,0,93.86666667
12806,9,0,179,139,423,20,105,254,2470,74326,85.44166667
11372,5,0,179,110,336,7,112,2229,3538,4699,82.85
16524,8,0,84,70,234,20,54,279,2285,31785,85.56666667
14391,116,0,187,166,382,89,126,83,253,4527,87.325
14680,23,5,383,127,229,37,166,139,6171,5026,91.73333333
12018,10,0,307,114,273,15,114,150,13397,5495,89.33333333
11854,10,0,307,110,330,15,118,174,8852,5519,92.93333333
529,3,0,12,13,210,20,23,0,12693,63295,92.8
443,3,0,15,9,92,0,20,0,11043,55688,92.13333333
9077,5,0,6,32,349,20,31,18,10838,90565,100
7350,9,0,3,12,186,45,25,0,14826,4950,89.33333333
8422,82,0,3,12,1078,8,11,16,15102,5087,93.06666667
10457,5,0,6,29,202,20,39,0,1784,63381,93.73333333
2955,12,0,0,2,244,0,0,0,7313,31776,87.45833333
4774,17,0,4,12,777,30,0,0,24140,98633,90.26666667
5651,25,0,5,21,499,26,0,41,6871,56351,87.45833333
6034,27,0,7,23,850,30,15,58,13058,81604,96.25
8194,24,0,12,34,833,58,17,0,10147,5237,92.13333333
6650,307,0,511,590,280,323,268,212,9755,93214,89.33333333
26908,10,0,362,188,300,45,256,8419,1637,4434,85.58333333
12024,8,0,267,141,111,36,196,168,1628,2242,88.4
11421,374,0,515,510,194,448,283,2077,74159,5262,87.31666667
644,0,0,69,6,10,16,103,0,4817,17360,92.93333333
15041,10,0,323,162,136,45,235,1054,701,3490,85.575
11622,9,0,401,181,147,39,287,62,13059,6134,89.19166667
1420,10,0,337,148,316,31,217,0,6520,94340,90.90833333
1634,8,0,299,123,246,28,198,0,1599,46829,96.53333333
2838,7,0,372,175,315,28,246,74,1434,48167,96.53333333
4677,9,0,294,138,151,nd,nd,523,392,66351,91.05
7499,22,0,4,20,697,16,0,0,2958,84632,89.83333333
6741,9,0,268,225,380, , ,52,903,72525,88.39166667
9918,9,0,268,242,463, , ,51,1031,62858,89.06666667
3454,10,0,276,170,276,49,187,9,7246,5678,96.25
4792,11,0,282,164,271,51,190,33,6006,6276,82
2974,8,0,174,96,0,61,137,8,10276,5746,89.33333333
2618,7,0,281,110,120,17,199,13,6187,5132,89.33333333
7553,9,0,324,174,336,62,230,26,18167,0,89.33333333
2797,6,0,3,10,621,0,37,0,8637,3226,92.13333333
2698,6,0,298,137,260,27,206,30,13444,95861,92.13333333
2824,6,0,234,112,243,26,166,26,5921,67753,92.13333333
5501,5,0,5,23,1035,17,27,0,1905,48134,92.8
7608,7,0,7,29,614,19,27,20,6366,76752,92.8
5669,5,0,5,24,727,2,3,0,4907,61393,93.73333333
3520,4,0,4,17,1204,16,21,0,2613,47124,93.73333333
8763,11,0,8,33,599,4,7,0,3768,81988,91.06666667
5072,3,0,3,15,572,0,59,10,13407,5190,89.33333333
3049,3,0,3,14,1162,0,19,0,3491,35180,94.65833333
5555,10,0,5,42,1949,15,20,0,12173,91990,92.8
6703,8,0,351,223,518,30,240,36,1709,53616,100
6802,6,0,279,154,278,50,214,20,1237,3639,81.33333333
8603,5,0,334,152,359,48,255,16,2623,3137,90.26666667
7344,63,0,298,211,384,82,238,19,1603,5303,84.13333333
5985,27,0,718,238,271,59,559,31,2383,83027,100
3021,18,0,410,135,408,44,328,0,1494,82659,100
1958,13,0,500,145,189,385,0,0,1523,77172,96
2450,23,0,942,202,335,966,0,0,1664,96518,94.125
3592,16,0,737,199,411,763,0,21,3601,90228,87.19166667
7990,11,0,204,259,723,128,0,30,1867,99186,91.06666667
6227,10,0,334,222,295,235,0,34,2171,66618,84.4
5190,127,0,449,467,576,187,273,47,156,91735,94.375
10773,133,0,265,270,978,176,18,318,710,75448,87.31666667
