General,ActivePart,InsulatingOil,OLTC,Bushing,Arrester,DGA,score
5.000,13.067,9.375,20.000,20.000,10.000,2.000,79.442
0.000,9.333,15.000,20.000,20.000,6.667,6.000,77.000
5.000,9.333,11.250,20.000,20.000,5.333,6.000,76.917
5.000,10.267,11.250,20.000,20.000,10.000,10.000,86.517
5.000,12.133,15.000,20.000,20.000,6.000,10.000,88.133
5.000,9.333,11.250,20.000,20.000,10.000,10.000,85.583
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,18.267,15.000,20.000,20.000,10.000,10.000,98.267
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,13.733,11.250,20.000,20.000,8.000,10.000,87.983
5.000,10.267,13.125,20.000,20.000,10.000,10.000,88.392
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,10.267,13.125,20.000,20.000,10.000,10.000,88.392
5.000,9.333,15.000,20.000,20.000,4.000,6.000,79.333
5.000,13.067,13.125,20.000,20.000,10.000,10.000,91.192
5.000,13.067,3.750,20.000,20.000,10.000,10.000,81.817
5.000,13.867,13.125,20.000,20.000,10.000,10.000,91.992
5.000,14.667,13.125,20.000,20.000,10.000,10.000,92.792
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,7.500,20.000,20.000,10.000,10.000,81.833
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,10.267,11.250,20.000,20.000,10.000,10.000,86.517
5.000,12.800,11.250,20.000,20.000,10.000,10.000,89.050
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,12.000,3.750,20.000,20.000,10.000,2.000,72.750
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,9.333,10.000,88.667
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
